ID,A,B,C,D,E
802569,1,.,.,.,.
802581,.,1,.,.,.
802593,.,.,.,0,0
802600,1,.,.,.,.
802633,.,.,1,.,1
802636,1,0,0,1,0
802648,0,0,.,.,.
802651,1,1,.,.,.
802697,1,.,.,.,.
802719,1,1,.,.,0
802725,1,1,1,.,1
802761,.,.,.,.,1
802770,.,.,.,.,1
802774,.,1,.,.,.
802798,1,.,.,.,.
802804,0,.,.,.,.
802810,.,.,1,0,.
802819,.,1,1,1,.
802835,.,1,1,1,0
802844,.,.,1,.,.
802859,1,1,1,1,1
802865,1,.,.,.,.
802871,.,.,1,1,1
802877,0,.,.,.,.
802883,1,1,1,1,1
802902,.,.,.,.,1
802908,1,1,1,1,1
802911,.,1,1,1,1
802920,.,.,.,.,0
802929,1,.,.,.,.
802938,.,.,.,1,.
802941,1,.,1,0,.
802947,1,.,1,1,1
802951,.,.,.,1,1
802966,.,.,1,.,.
802981,1,1,1,1,1
802987,1,1,1,1,.
803012,.,.,1,1,1
803018,1,1,0,0,.
803030,1,.,.,.,.
803033,.,.,1,1,1
803045,.,.,0,0,0
803057,1,.,.,.,.
803063,1,1,1,1,1
803076,1,1,1,0,1
803085,1,1,1,.,.
803088,1,1,1,1,.
803106,1,1,.,.,.
803109,1,.,.,.,.
803118,1,1,.,.,.
803121,1,.,.,.,.
803143,.,.,.,1,1
803152,1,1,1,1,1
803155,.,1,1,1,1
803179,.,.,.,1,.
803186,.,.,.,.,1
803189,1,1,1,1,1
803195,1,1,1,1,.
803201,.,.,.,1,0
803225,.,.,1,.,.
803228,1,1,1,1,1
803237,1,0,0,0,0
803247,.,1,.,.,.
803268,1,1,1,1,1
803277,.,.,.,.,1
803280,1,1,1,1,1
803286,1,.,.,.,.
803292,1,.,.,.,.
803295,1,1,.,.,.
803298,1,1,.,.,.
803302,0,0,.,.,.
803311,1,.,.,.,.
803320,1,1,.,1,1
803353,.,1,0,.,.
803356,.,.,1,1,1
803366,1,1,1,1,1
803375,1,1,.,.,.
803384,1,1,.,.,.
803408,1,.,1,1,1
803414,1,1,.,.,.
803424,1,.,.,.,.
803430,1,.,1,1,.
803445,1,1,1,1,.
803466,1,1,1,1,1
803472,.,1,1,1,1
803494,.,1,1,0,1
803500,0,.,.,1,1
803503,.,.,.,.,1
803506,1,1,1,1,1
803509,1,.,.,.,.
803515,1,1,1,1,1
803521,1,.,.,.,.
803564,1,0,1,.,.
803567,1,.,0,0,0
803576,1,1,1,.,.
803579,0,.,.,.,.
803582,1,1,1,0,1
803585,1,.,.,.,.
803616,1,1,1,1,1
803619,1,0,0,0,0
803622,1,1,1,1,.
803631,1,.,.,.,.
803656,1,1,1,1,.
803662,1,.,.,.,.
803674,.,.,.,.,1
803689,1,.,.,.,.
803692,1,.,.,.,.
803698,0,0,.,.,.
803704,1,.,.,.,.
803717,1,0,0,0,0
803723,0,0,0,1,1
803747,1,1,1,1,1
803762,1,1,.,.,.
803768,.,.,1,1,1
803775,1,1,0,1,1
803787,.,0,.,1,1
803796,.,.,.,.,1
803799,1,1,1,1,1
803802,0,0,0,0,0
803805,1,1,1,1,1
803811,1,1,1,1,1
803814,1,1,.,.,.
803823,.,.,0,.,.
803829,1,1,1,1,1
803839,1,1,1,.,.
803854,.,.,.,.,1
803860,1,1,1,1,0
803863,1,1,.,1,.
803875,0,.,.,.,.
803884,.,.,1,.,.
803906,.,0,0,0,0
803912,.,.,.,1,1
803924,.,0,0,0,0
803952,1,1,1,1,1
803961,1,1,1,1,1
803976,1,1,1,1,1
804019,.,.,1,1,1
804025,.,.,1,.,.
804028,1,1,1,1,.
804031,1,0,.,1,.
804040,0,.,.,.,.
804043,.,.,.,.,1
804046,1,1,1,.,.
804061,1,1,1,0,0
804067,1,1,1,1,1
804074,1,1,1,1,1
804077,1,1,1,1,1
804080,1,.,.,.,.
804083,.,.,.,.,1
804101,1,1,1,1,.
804104,.,.,1,1,1
804116,1,1,1,1,1
804129,.,.,1,0,.
804144,.,.,0,0,0
804165,0,.,.,.,.
804168,.,1,1,1,1
804171,1,1,.,.,.
804187,.,.,.,1,1
804196,1,1,1,1,1
804199,1,1,1,.,.
804220,1,1,1,1,1
804226,.,.,.,.,1
804229,.,0,0,.,.
804251,1,1,1,1,1
804254,1,.,.,.,.
804281,1,.,.,.,.
804293,.,.,.,.,1
804296,1,1,1,1,1
804327,1,.,.,.,.
804336,1,1,1,.,.
804354,1,.,1,1,1
804376,1,.,.,.,.
804394,.,.,.,1,1
804406,.,.,.,1,1
804412,.,.,1,1,.
804415,1,.,.,.,.
804418,.,.,1,1,.
804431,.,1,1,.,.
804440,1,1,1,0,.
804455,1,1,1,1,1
804467,.,0,.,.,.
804470,0,0,0,.,.
804476,.,.,.,.,0
804479,1,1,1,1,1
804483,.,.,.,.,0
804489,0,.,.,.,.
804513,0,1,.,.,.
804516,0,0,0,0,0
804522,1,1,1,1,1
804541,.,.,1,1,1
804556,1,1,1,1,1
804562,1,1,1,1,1
804565,1,1,1,1,1
804602,1,.,.,.,.
804626,1,1,1,1,1
804653,.,.,1,1,1
804660,1,1,1,.,1
804672,1,.,1,1,.
804687,1,1,1,.,.
804690,1,1,1,1,1
804721,1,1,1,1,1
804730,.,.,0,.,.
804760,.,.,.,1,.
804763,.,.,.,1,1
804779,0,1,1,1,.
804794,1,.,.,.,.
804806,1,1,1,1,1
804812,.,.,.,.,0
804858,.,.,1,1,1
804861,1,1,1,1,1
804870,1,.,.,.,.
804882,.,.,0,0,0
804916,.,.,1,1,1
804925,.,.,1,1,0
804931,1,1,.,.,.
804943,1,.,.,.,.
804949,1,1,1,1,1
804953,1,1,1,1,1
804968,1,.,1,0,0
804980,1,.,.,.,.
804992,.,.,.,.,0
805004,1,1,1,1,.
805007,1,1,1,1,1
805010,.,.,1,.,.
805056,.,.,.,0,.
805059,1,1,0,1,1
805062,1,1,1,1,1
805075,.,1,.,.,.
805081,1,.,.,.,.
805084,1,.,.,.,.
805093,1,.,.,.,.
805096,1,1,1,1,1
805105,1,.,.,.,.
805114,1,.,.,.,.
805148,.,.,.,.,1
805169,1,.,1,1,1
805181,1,.,.,1,0
805187,0,.,.,.,.
805200,1,0,0,0,.
805224,1,1,1,1,1
805239,0,0,0,.,0
805242,1,.,.,.,.
805252,0,1,1,1,1
805255,0,0,0,.,.
805258,.,.,1,1,1
805261,1,1,1,1,1
805264,.,1,1,.,.
805273,1,1,1,1,1
805276,1,1,.,.,.
805288,.,1,0,1,1
805303,1,1,1,1,1
805313,1,.,.,.,.
805319,1,1,1,1,1
805322,.,.,1,0,.
805340,.,.,.,.,1
805364,1,1,0,0,0
805380,1,1,1,1,.
805416,.,.,.,.,1
805419,.,.,1,1,1
805426,1,1,1,1,1
805453,0,0,0,0,0
805468,0,.,.,.,.
805505,1,1,1,1,1
805526,1,.,.,.,.
805532,.,.,.,.,1
805554,1,1,1,1,.
805569,1,1,1,1,1
805572,1,1,1,1,1
805575,.,0,0,0,0
805581,0,0,0,.,.
805593,.,.,0,.,.
805603,1,1,1,1,1
805606,.,.,.,.,1
805612,1,.,.,.,.
805633,1,1,1,0,.
805642,.,.,.,1,1
805645,1,1,1,1,.
805657,1,1,1,1,1
805670,.,.,1,1,1
805685,0,0,0,0,0
805703,0,.,1,.,0
805709,1,1,1,1,1
805734,1,1,1,.,.
805749,1,.,.,1,.
805761,1,1,1,1,1
805767,1,.,.,.,.
805795,.,.,.,.,1
805798,1,.,.,.,.
805807,0,.,0,.,.
805816,1,1,0,0,1
805819,0,0,0,0,0
805856,1,.,.,.,.
805859,1,.,.,.,.
805871,1,1,1,.,.
805899,0,.,.,.,.
805911,1,.,1,.,.
805914,1,.,.,.,.
805920,1,1,1,.,.
805923,.,.,1,1,1
805926,1,1,1,1,1
805935,1,1,1,1,.
805969,1,.,.,.,.
805996,1,1,.,.,.
805999,1,.,.,.,.
806008,1,1,1,1,1
806021,1,.,1,.,.
806027,1,1,.,.,.
806033,1,1,1,1,1
806042,1,.,.,.,.
806045,.,.,.,0,0
806072,0,.,.,.,.
806082,1,1,1,1,0
806106,0,.,.,.,.
806112,1,1,1,0,0
806121,0,0,.,.,.
806155,.,.,.,.,1
806158,.,1,1,1,1
806176,1,1,1,1,1
806182,.,.,1,.,.
806201,.,.,0,0,.
806204,1,.,.,1,1
806207,1,1,.,.,.
806225,1,1,1,.,.
806234,1,1,.,1,1
806237,1,1,1,1,1
806240,1,1,1,1,1
806250,1,1,1,1,1
806256,1,1,1,1,1
806277,.,.,0,0,0
806283,0,0,0,.,0
806289,1,1,1,.,.
806307,1,1,1,1,1
806317,.,.,.,.,1
806335,1,.,.,.,.
806341,1,1,1,0,0
806350,1,.,1,1,1
806356,.,.,.,0,1
806362,.,.,1,1,.
806365,.,.,.,1,1
806369,1,.,.,.,.
806378,1,.,.,.,.
806381,1,1,.,.,.
806402,1,.,.,.,.
806405,1,.,.,.,.
806414,.,.,0,1,1
806448,1,0,.,.,.
806451,1,0,1,1,1
806454,1,1,1,1,1
806460,1,1,1,1,1
806478,1,1,.,.,.
806512,.,.,1,1,.
806521,1,1,1,1,1
806530,1,.,.,.,.
806552,1,1,1,1,1
806579,.,.,.,.,1
806582,1,1,1,.,.
806613,1,.,.,.,.
806616,1,.,.,.,.
806625,0,.,.,.,.
806628,1,1,1,1,1
806640,0,.,.,.,.
806652,1,0,1,1,1
806658,.,.,1,1,1
806661,.,.,.,1,.
806668,1,1,1,1,1
806683,0,0,0,1,0
806689,1,1,0,1,1
806695,1,1,.,.,.
806707,1,1,1,1,1
806716,1,.,.,.,.
806719,.,0,0,1,.
806732,1,1,1,1,1
806759,.,.,.,1,.
806765,1,1,1,1,1
806768,1,.,1,.,.
806774,1,1,1,1,1
806784,0,0,.,.,0
806787,1,.,1,.,.
806790,.,.,.,.,1
806793,1,1,1,1,.
806799,1,.,1,.,1
806808,1,.,.,.,.
806811,1,1,1,1,1
806814,.,0,0,0,0
806823,.,1,1,1,1
806835,.,.,.,.,1
806884,.,.,1,1,1
806890,1,1,1,1,.
806893,.,.,1,1,1
806900,.,.,.,.,1
806906,.,.,0,.,.
